model,price,rating,connectivity,processor,ram,storage,battery,display,camera,os,memory_card
BlackZone S25 Ultra Maxx,"₹8,999",63,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Spreadtrum, Octa Core, 1.6 GHz Processor","8 GB RAM, 128 GB inbuilt","8 GB RAM, 128 GB inbuilt",5000 mAh Battery,"6.6 inches, 720 x 1612 px Display",32 MP Rear & 16 MP Front Camera,Android v14,
Ringme Bold P70,"₹5,800",44,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio, Dual Core, 1.3 GHz Processor","4 GB RAM, 128 GB inbuilt","4 GB RAM, 128 GB inbuilt",3260 mAh Battery,"6.3 inches, 128 x 160 px Display",13 MP Rear Camera,Android,
Lava Shark 5G (4GB RAM + 128GB),"₹8,998",60,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Unisoc T765, Octa Core Processor","4 GB RAM, 128 GB inbuilt","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with Fast Charging,"6.75 inches, 720 x 1600 px, 90 Hz Display with Punch Hole",13 MP Rear & 5 MP Front Camera,Android v15,"Memory Card Supported, upto 1 TB"
Hotline Amaze Clear 32,₹470,11,No Wifi,1.3 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",1000 mAh Battery,"1.8 inches, 128 x 160 px Display",0.3 MP Rear Camera,,"Memory Card Supported, upto 32 GB"
Jmax Nano,₹777,8,Dual Sim,225 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",800 mAh Battery,"0.66 inches, 320 x 480 px Display",0.3 MP Rear Camera,,
Jmax Lambo,₹777,8,Dual Sim,245 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",800 mAh Battery,"0.66 inches, 320 x 480 px Display",0.3 MP Rear Camera,,
Ringme Bold Z,₹990,9,Dual Sim,100 kHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",2500 mAh Battery,"2.4 inches, 120 x 240 px Display",0.3 MP Rear Camera,,
Vivo Y19s 5G (4GB RAM + 128GB),"₹11,999",69,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","4 GB RAM, 128 GB inbuilt","4 GB RAM, 128 GB inbuilt",6000 mAh Battery with 15W Fast Charging,"6.74 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",13 MP + 0.08 MP Dual Rear & 5 MP Front Camera,Android v15,Memory Card Supported
Vivo Y19s 5G (4GB RAM + 64GB),"₹10,999",68,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","4 GB RAM, 64 GB inbuilt","4 GB RAM, 64 GB inbuilt",6000 mAh Battery with 15W Fast Charging,"6.74 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",13 MP + 0.08 MP Dual Rear & 5 MP Front Camera,Android v15,Memory Card Supported
Vivo Y19s 5G,"₹13,499",71,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt","6 GB RAM, 128 GB inbuilt",6000 mAh Battery with 15W Fast Charging,"6.74 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",13 MP + 0.08 MP Dual Rear & 5 MP Front Camera,Android v15,Memory Card Supported
Ringme R1 Bold X,₹990,10,Dual Sim,100 kHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",2500 mAh Battery,"2.4 inches, 240 x 320 px Display",0.3 MP Rear Camera,,
Hotline Royal Flip,₹999,14,No Wifi,"Unisoc, Quad Core, 1.2 MHz Processor","64 MB RAM, 32 MB inbuilt","64 MB RAM, 32 MB inbuilt",2500 mAh Battery,"2.4 inches, 320 x 480 px Display",1 MP Rear Camera,Symbian v40,
Jmax Stealth,₹777,7,Dual Sim,225 MHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",800 mAh Battery,"0.66 inches, 320 x 480 px Display",0.3 MP Rear Camera,,
Peace Nova 1,₹649,10,Dual Sim,1.77 MHz Processor,"8 MB RAM, 32 MB inbuilt","8 MB RAM, 32 MB inbuilt",850 mAh Battery,"1.77 inches, 320 x 480 px Display",0.3 MP Rear Camera,,Memory Card Supported
Nothing Phone 3a Lite (8GB RAM + 256GB),"₹20,999",84,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 7300 Pro, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 2 TB"
Peace P4 New,₹630,16,"Dual Sim, 3G, Wi-Fi",1.2 MHz Processor,"64 MB RAM, 256 MB inbuilt","64 MB RAM, 256 MB inbuilt",850 mAh Battery,"1.8 inches, 320 x 240 px Display",0.3 MP Rear Camera,,
Foneme F115 Pro,₹849,6,Dual Sim,"Single Core, 1.77 MHz Processor","8 MB RAM, 16 MB inbuilt","8 MB RAM, 16 MB inbuilt",1000 mAh Battery,"1.4 inches, 128 x 160 px Display",0.3 MP Rear Camera,Symbian v9.1,
Hotline Ghost,₹666,7,"Dual Sim, 3G","Spreadtrum, 1.2 GHz Processor","32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",800 mAh Battery,"0.66 inches, 120 x 240 px Display",0.3 MP Rear Camera,v30,
Motorola Moto G67 Power 5G,"₹15,999",80,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt","8 GB RAM, 128 GB inbuilt",7000 mAh Battery with 30W Fast Charging,"6.7 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,Android v15,"Memory Card (Hybrid), upto 1 TB"
Peace Honor 30,"₹5,599",38,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio, Single Core, 1.3 MHz Processor","3 GB RAM, 32 GB inbuilt","3 GB RAM, 32 GB inbuilt",3000 mAh Battery,"4.5 inches, 412 x 960 px Display",8 MP Rear Camera,Android,
Peace P30,₹749,11,Dual Sim,300 kHz Processor,"32 MB RAM, 32 MB inbuilt","32 MB RAM, 32 MB inbuilt",2500 mAh Battery,"2.4 inches, 240 x 320 px Display",1.3 MP Rear Camera,,
GFive Flip 1,₹999,12,Dual Sim,"Unisoc, Quad Core, 1.2 MHz Processor","64 MB RAM, 32 MB inbuilt","64 MB RAM, 32 MB inbuilt",2500 mAh Battery,"2.4 inches, 320 x 480 px Display",1 MP Rear Camera,Symbian v40,
Ulefone Armor 29 Pro 5G,"₹86,500",96,"Dual Sim, 3G, 4G, 5G, Wi-Fi, NFC, IR Blaster","Dimensity 7400, Octa Core, 2.6 GHz Processor","16 GB RAM, 512 GB inbuilt","16 GB RAM, 512 GB inbuilt",21200 mAh Battery with 120W Fast Charging,"6.67 inches, 1080 x 2400 px Display",64 MP + 50 MP + 50 MP Triple Rear & 50 MP Front Camera,,Memory Card Supported
Peace MINI 1,"₹4,180",36,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio, Single Core, 1.3 MHz Processor","3 GB RAM, 32 GB inbuilt","3 GB RAM, 32 GB inbuilt",2000 mAh Battery,"2.95 inches, 360 x 640 px Display",8 MP Rear Camera,Android v12.0,
